
,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
27,2023-02-15,,Xavier,W,69,68,26,68,.382,5,22,.227,12,17,.706,14,34,13,10,1,7,11,,27,51,.529,7,19,.368,7,9,.778,2,29,16,5,1,17,15
28,2023-02-21,@,Creighton,W,73,71,28,58,.483,5,18,.278,12,20,.600,7,31,13,10,0,8,18,,26,54,.481,10,28,.357,9,12,.750,6,34,16,4,2,15,16
29,2023-02-25,,DePaul,W,90,84,30,62,.484,12,28,.429,18,23,.783,9,25,22,10,4,9,17,,31,60,.517,7,14,.500,15,22,.682,10,33,21,6,6,17,21
30,2023-02-28,@,Butler,W,72,56,30,54,.556,7,20,.350,5,5,1.000,6,27,20,8,3,13,14,,20,51,.392,6,19,.316,10,14,.714,7,23,10,6,2,12,6
31,2023-03-04,,St. John's (NY),W,96,94,32,64,.500,11,31,.355,21,28,.750,8,25,24,13,1,8,22,,34,64,.531,10,20,.500,16,18,.889,10,36,19,2,1,19,21
32,2023-03-09,@,St. John's (NY),W (1 OT),72,70,27,69,.391,9,34,.265,9,12,.750,11,35,18,13,3,19,21,,21,69,.304,8,24,.333,20,24,.833,15,41,9,9,7,20,17
33,2023-03-10,N,UConn,W,70,68,24,51,.471,11,29,.379,11,14,.786,4,21,12,3,1,8,17,,26,59,.441,7,25,.280,9,15,.600,14,34,13,2,2,9,14
34,2023-03-11,N,Xavier,W,65,51,22,61,.361,7,27,.259,14,16,.875,8,33,11,6,4,4,15,,21,61,.344,5,20,.250,4,11,.364,11,39,13,2,2,13,14
35,2023-03-17,N,Vermont,W,78,61,29,56,.518,10,20,.500,10,15,.667,5,29,15,7,1,5,11,,23,53,.434,8,25,.320,7,10,.700,4,24,15,3,1,10,14
36,2023-03-19,N,Michigan State,L,60,69,20,52,.385,11,27,.407,9,14,.643,7,29,11,3,0,16,18,,24,54,.444,2,16,.125,19,23,.826,10,36,8,9,3,10,19
1,2021-11-09,,SIU-Edwardsville,W,88,77,30,68,.441,7,26,.269,21,29,.724,12,33,19,9,5,14,25,,28,60,.467,2,14,.143,19,29,.655,10,35,15,6,2,24,25
2,2021-11-12,,New Hampshire,W,75,70,22,54,.407,7,27,.259,24,32,.750,8,38,12,7,3,9,20,,22,57,.386,12,27,.444,14,24,.583,8,35,16,3,1,8,22
3,2021-11-15,,Illinois,W,67,66,22,54,.407,5,17,.294,18,31,.581,5,27,9,10,7,14,16,,25,66,.379,9,24,.375,7,11,.636,18,48,13,7,2,23,24
4,2021-11-18,N,Ole Miss,W,78,72,24,56,.429,13,32,.406,17,19,.895,5,30,16,3,5,10,17,,29,62,.468,8,20,.400,6,15,.400,10,35,16,7,3,9,18
5,2021-11-19,N,West Virginia,W,82,71,30,57,.526,12,26,.462,10,11,.909,6,34,20,4,6,13,19,,27,64,.422,7,19,.368,10,15,.667,7,28,14,6,3,8,14
6,2021-11-21,N,St. Bonaventure,L,54,70,17,56,.304,6,27,.222,14,24,.583,9,35,12,5,2,17,17,,28,59,.475,2,17,.118,12,17,.706,7,40,11,9,8,12,21
7,2021-11-27,,Northern Illinois,W,80,66,27,52,.519,6,20,.300,20,28,.714,6,35,19,9,7,19,15,,26,59,.441,5,19,.263,9,17,.529,5,24,14,12,5,16,18
8,2021-11-30,,Jackson State,W,83,54,30,57,.526,8,21,.381,15,23,.652,6,41,21,12,6,20,14,,21,69,.304,4,17,.235,8,15,.533,15,35,12,12,5,17,18
9,2021-12-04,@,Wisconsin,L,76,89,27,61,.443,9,26,.346,13,18,.722,6,30,13,4,3,12,20,,31,61,.508,10,24,.417,17,23,.739,5,30,14,5,3,11,15
10,2021-12-08,@,Kansas State,W,64,63,26,63,.413,11,37,.297,1,3,.333,5,37,21,10,7,11,12,,25,64,.391,6,25,.240,7,10,.700,8,40,18,7,1,10,9
11,2021-12-11,,UCLA,L,56,67,19,57,.333,8,33,.242,10,14,.714,7,35,15,7,5,11,16,,24,67,.358,9,24,.375,10,17,.588,13,43,16,7,3,10,13
12,2021-12-18,@,Xavier,L,71,80,27,65,.415,9,26,.346,8,12,.667,4,34,18,7,6,10,25,,27,63,.429,5,18,.278,21,35,.600,13,45,15,8,6,8,12
13,2021-12-21,,UConn,L,70,78,26,54,.481,5,15,.333,13,17,.765,4,26,15,5,4,13,18,,28,56,.500,6,20,.300,16,18,.889,5,29,16,8,3,12,17
14,2022-01-01,,Creighton,L (2 OT),69,75,29,76,.382,5,19,.263,6,7,.857,6,39,15,9,7,11,19,,26,72,.361,11,31,.355,12,19,.632,14,48,17,7,4,16,13
15,2022-01-04,,Providence,W,88,56,31,59,.525,10,23,.435,16,18,.889,12,35,24,8,8,8,20,,19,58,.328,5,19,.263,13,20,.650,15,31,6,4,1,13,14
16,2022-01-07,@,Georgetown,W,92,64,39,66,.591,9,26,.346,5,9,.556,8,37,24,10,6,16,19,,20,67,.299,4,18,.222,20,24,.833,15,31,11,9,1,15,10
